x,y,z,Bx,By,Bz,Bmag
-0.0900000036,-0.025000006,0.0199999958,0.0490558594,-5.69921212e-07,3.09164761e-06,0.0490558595
-0.0900000036,-0.025000006,0.0249999985,0.0490533151,-9.65163053e-07,3.48166623e-06,0.0490533152
-0.0900000036,-0.025000006,0.0299999937,0.0490521565,-1.52723715e-06,1.91106119e-06,0.0490521566
-0.0900000036,-0.025000006,0.034999989,0.0490521379,-1.40139514e-06,3.78100594e-07,0.0490521379
-0.0900000036,-0.0200000033,-0.0350000039,0.0490522645,-1.17088666e-06,9.67061169e-08,0.0490522646
-0.0900000036,-0.0200000033,-0.0300000012,0.0490536578,-6.43612339e-07,-1.73384524e-06,0.0490536578
-0.0900000036,-0.0200000033,-0.025000006,0.0490537398,-7.57171733e-07,-3.69564441e-06,0.0490537399
-0.0900000036,-0.0200000033,-0.0200000033,0.049055241,2.52011546e-07,-4.38975849e-06,0.0490552412
-0.0900000036,-0.0200000033,-0.0150000006,0.0490581244,-3.67541361e-07,-5.54684084e-06,0.0490581247
-0.0900000036,-0.0200000033,-0.0100000054,0.0490589477,1.21838275e-06,-3.92999345e-06,0.0490589479
-0.0900000036,-0.0200000033,-0.00500000268,0.0490598828,4.78858738e-07,-1.91281742e-06,0.0490598828
-0.0900000036,-0.0200000033,-7.4505806e-09,0.0490609817,5.82998041e-07,-1.93372216e-08,0.0490609817
-0.0900000036,-0.0200000033,0.00499999523,0.0490603521,8.01004717e-07,2.17375327e-06,0.0490603522
-0.0900000036,-0.0200000033,0.00999999791,0.0490591712,5.04895979e-07,3.24323128e-06,0.0490591713
-0.0900000036,-0.0200000033,0.0149999931,0.0490579791,-9.65089043e-07,4.27400528e-06,0.0490579793
-0.0900000036,-0.0200000033,0.0199999958,0.0490555316,-7.35680999e-07,4.25447979e-06,0.0490555318
-0.0900000036,-0.0200000033,0.0249999985,0.0490538962,-1.65678e-06,2.75029151e-06,0.0490538963
-0.0900000036,-0.0200000033,0.0299999937,0.0490520708,-7.21867139e-07,1.68190854e-06,0.0490520709
-0.0900000036,-0.0200000033,0.034999989,0.0490517356,-1.2275807e-06,9.12752512e-07,0.0490517356
-0.0900000036,-0.0150000006,-0.0400000028,0.0490519777,-6.57910846e-07,2.60357274e-06,0.0490519778
-0.0900000036,-0.0150000006,-0.0350000039,0.049051892,-9.83634209e-07,-2.44448984e-07,0.049051892
-0.0900000036,-0.0150000006,-0.0300000012,0.0490527526,-7.77896446e-07,-1.00313537e-06,0.0490527526
-0.0900000036,-0.0150000006,-0.025000006,0.0490545705,-5.59908869e-07,-2.99394469e-06,0.0490545706
-0.0900000036,-0.0150000006,-0.0200000033,0.0490551256,-5.05197022e-07,-3.96780115e-06,0.0490551257
-0.0900000036,-0.0150000006,-0.0150000006,0.049057316,-5.48031437e-07,-5.37335427e-06,0.0490573163
-0.0900000036,-0.0150000006,-0.0100000054,0.0490596555,-3.2838102e-08,-2.82102519e-06,0.0490596556
-0.0900000036,-0.0150000006,-0.00500000268,0.049061358,5.89682941e-07,-3.28512215e-06,0.0490613581
-0.0900000036,-0.0150000006,-7.4505806e-09,0.0490610674,6.90045283e-07,-4.89082595e-07,0.0490610674
-0.0900000036,-0.0150000006,0.00499999523,0.0490608513,4.87334148e-07,2.85571878e-06,0.0490608514
-0.0900000036,-0.0150000006,0.00999999791,0.0490591377,-6.96116786e-07,2.99324711e-06,0.0490591378
